Circuit,circuitRef,Circuit_fixed,Current,Type,Direction,Location,Country,Last length used,Grands Prix,Season(s),Grands Prix held
Autódromo Juan y Oscar Gálvez,galvez,Autódromo Juan y Oscar Gálvez,0,Race circuit,Clockwise,Buenos Aires, Argentina,4.259 km (2.646 mi),Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20
Adelaide Street Circuit,adelaide,Adelaide Street Circuit,0,Street circuit,Clockwise,Adelaide, Australia,3.780 km (2.349 mi),Australian Grand Prix,1985–1995,11
Albert Park Circuit ✔,albert_park,Albert Park Circuit,1,Street circuit,Clockwise,Melbourne, Australia,5.278 km (3.280 mi),Australian Grand Prix,"1996–2019, 2022–2023",26
Red Bull Ring ✔,red_bull_ring,Red Bull Ring,1,Race circuit,Clockwise,Spielberg, Austria,4.318 km (2.683 mi),"Austrian Grand Prix,","1970–1987, 1997–2003, 2014–2023[c]",35
Zeltweg Airfield,zeltweg,Zeltweg Airfield,0,Road circuit,Clockwise,Zeltweg, Austria,3.186 km (1.980 mi),Austrian Grand Prix,1964,1
Baku City Circuit ✔,baku,Baku City Circuit,1,Street circuit,Anti-clockwise,Baku, Azerbaijan,6.003 km (3.730 mi),European Grand Prix,2016,1
Bahrain International Circuit ✔,bahrain,Bahrain International Circuit,1,Race circuit,Clockwise,Sakhir, Bahrain,5.412 km (3.363 mi),Bahrain Grand Prix,"2004–2010, 2012–2023[a]",19
Complexe Européen de Nivelles-Baulers,nivelles,Complexe Européen de Nivelles-Baulers,0,Race circuit,Clockwise,Nivelles, Belgium,3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2
Circuit de Spa-Francorchamps ✔,spa,Circuit de Spa-Francorchamps,1,Race circuit,Clockwise,Stavelot, Belgium,7.004 km (4.352 mi),Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2023",56
Circuit Zolder,zolder,Circuit Zolder,0,Race circuit,Clockwise,Heusden-Zolder, Belgium,4.262 km (2.648 mi),Belgian Grand Prix,"1973, 1975–1982, 1984",10
Autodromo José Carlos Pace ✔,interlagos,Autodromo José Carlos Pace,1,Race circuit,Anti-clockwise,São Paulo, Brazil,4.309 km (2.677 mi),"Brazilian Grand Prix,","1973–1977, 1979–1980, 1990–2019, 2021–2022",39
Autódromo Internacional do Rio de Janeiro,jacarepagua,Autódromo Internacional do Rio de Janeiro,0,Race circuit,Anti-clockwise,Rio de Janeiro, Brazil,5.031 km (3.126 mi),Brazilian Grand Prix,"1978, 1981–1989",10
Mosport International Raceway,mosport,Mosport International Raceway,0,Race circuit,Clockwise,Bowmanville, Canada,3.957 km (2.459 mi),Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8
Circuit Mont-Tremblant,tremblant,Circuit Mont-Tremblant,0,Race circuit,Clockwise,Mont-Tremblant, Canada,4.265 km (2.650 mi),Canadian Grand Prix,"1968, 1970",2
Circuit Gilles-Villeneuve ✔,villeneuve,Circuit Gilles-Villeneuve,1,Street circuit,Clockwise,Montreal, Canada,4.361 km (2.710 mi),Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019, 2022–2023",42
Shanghai International Circuit *,shanghai,Shanghai International Circuit,0,Race circuit,Clockwise,Shanghai, China,5.451 km (3.387 mi),Chinese Grand Prix,2004–2019,16
Charade Circuit,charade,Charade Circuit,0,Road circuit,Clockwise,Saint-Genès-Champanelle, France,8.055 km (5.005 mi),French Grand Prix,"1965, 1969–1970, 1972",4
Circuit Dijon-Prenois,dijon,Circuit Dijon-Prenois,0,Race circuit,Clockwise,Prenois, France,3.886 km (2.415 mi),French Grand Prix,"1974, 1977, 1979, 1981, 1984",5
Rouen-Les-Essarts,essarts,Rouen-Les-Essarts,0,Road circuit,Clockwise,Orival, France,6.542 km (4.065 mi),French Grand Prix,"1952, 1957, 1962, 1964, 1968",5
Bugatti Au Mans,lemans,Bugatti Au Mans,0,Race circuit,Clockwise,Le Mans, France,4.430 km (2.753 mi),French Grand Prix,1967,1
Circuit de Nevers Magny-Cours,magny_cours,Circuit de Nevers Magny-Cours,0,Race circuit,Clockwise,Magny-Cours, France,4.411 km (2.741 mi),French Grand Prix,1991–2008,18
Circuit de Reims-Gueux,reims,Circuit de Reims-Gueux,0,Road circuit,Clockwise,Gueux, France,8.302 km (5.159 mi),French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11
Circuit Paul Ricard,ricard,Circuit Paul Ricard,0,Race circuit,Clockwise,Le Castellet, France,5.842 km (3.630 mi),French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",18
AVUS,avus,AVUS,0,Road circuit,Anti-clockwise,Berlin, Germany,8.300 km (5.157 mi),German Grand Prix,1959,1
Hockenheimring,hockenheimring,Hockenheimring,0,Race circuit,Clockwise,Hockenheim, Germany,4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37
Nürburgring,nurburgring,Nürburgring,0,Race circuit,Clockwise,Nürburg, Germany,5.148 km (3.199 mi),German Grand Prix,"1951–1954, 1956–1958, 1961–1969, 1971–1976, 1985, 2009, 2011, 2013",28
Hungaroring ✔,hungaroring,Hungaroring,1,Race circuit,Clockwise,Mogyoród, Hungary,4.381 km (2.722 mi),Hungarian Grand Prix,1986–2023,38
Buddh International Circuit,buddh,Buddh International Circuit,0,Race circuit,Clockwise,Greater Noida, India,5.141 km (3.194 mi),Indian Grand Prix,2011–2013,3
Autodromo Enzo e Dino Ferrari *,imola,Autodromo Enzo e Dino Ferrari,0,Race circuit,Anti-clockwise,Imola, Italy,4.909 km (3.050 mi),Italian Grand Prix,1980,1
Autodromo Nazionale di Monza ✔,monza,Autodromo Nazionale di Monza,1,Race circuit,Clockwise,Monza, Italy,5.793 km (3.600 mi),Italian Grand Prix,"1950–1979, 1981–2022",72
Autodromo Internazionale del Mugello,mugello,Autodromo Internazionale del Mugello,0,Race circuit,Clockwise,Scarperia e San Piero, Italy,5.245 km (3.259 mi),Tuscan Grand Prix,2020,1
Pescara Circuit,pescara,Pescara Circuit,0,Road circuit,Clockwise,Pescara, Italy,25.800 km (16.031 mi),Pescara Grand Prix,1957,1
Fuji Speedway,fuji,Fuji Speedway,0,Race circuit,Clockwise,Oyama, Japan,4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4
TI Circuit Aida,okayama,TI Circuit Aida,0,Race circuit,Clockwise,Mimasaka, Japan,3.703 km (2.301 mi),Pacific Grand Prix,1994–1995,2
Suzuka International Racing Course ✔,suzuka,Suzuka International Racing Course,1,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka, Japan,5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2019, 2022",32
Korea International Circuit,yeongam,Korea International Circuit,0,Race circuit,Anti-clockwise,Yeongam, Korea,5.615 km (3.489 mi),Korean Grand Prix,2010–2013,4
Sepang International Circuit,sepang,Sepang International Circuit,0,Race circuit,Clockwise,Sepang, Malaysia,5.543 km (3.444 mi),Malaysian Grand Prix,1999–2017,19
Autódromo Hermanos Rodríguez ✔,rodriguez,Autódromo Hermanos Rodríguez,1,Race circuit,Clockwise,Mexico City, Mexico,4.304 km (2.674 mi),"Mexican Grand Prix,","1963–1970, 1986–1992, 2015–2019, 2021–2022",22
Circuit de Monaco ✔,monaco,Circuit de Monaco,1,Street circuit,Clockwise,Monte Carlo, Monaco,3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2019, 2021–2023",69
Ain-Diab Circuit,ain-diab,Ain-Diab Circuit,0,Road circuit,Clockwise,Casablanca, Morocco,7.618 km (4.734 mi),Moroccan Grand Prix,1958,1
Circuit Zandvoort ✔,zandvoort,Circuit Zandvoort,1,Race circuit,Clockwise,Zandvoort, Netherlands,4.259 km (2.646 mi),Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2022",32
Circuito da Boavista,boavista,Circuito da Boavista,0,Street circuit,Anti-clockwise,Porto, Portugal,7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2
Autódromo do Estoril,estoril,Autódromo do Estoril,0,Race circuit,Clockwise,Estoril, Portugal,4.360 km (2.709 mi),Portuguese Grand Prix,1984–1996,13
Circuito de Monsanto,monsanto,Circuito de Monsanto,0,Street circuit,Clockwise,Lisbon, Portugal,5.440 km (3.380 mi),Portuguese Grand Prix,1959,1
Algarve International Circuit,portimao,Algarve International Circuit,0,Race circuit,Clockwise,Portimão, Portugal,4.653 km (2.891 mi),Portuguese Grand Prix,2020–2021,2
Losail International Circuit ✔,losail,Losail International Circuit,1,Race circuit,Clockwise,Lusail, Qatar,5.418 km (3.367 mi),Qatar Grand Prix,2021,1
Sochi Autodrom,sochi,Sochi Autodrom,0,Race circuit,Clockwise,Sochi, Russia,5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8
Jeddah Corniche Circuit ✔,jeddah,Jeddah Corniche Circuit,1,Street circuit,Anti-clockwise,Jeddah, Saudi Arabia,6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2023,3
Marina Bay Street Circuit ✔,marina_bay,Marina Bay Street Circuit,1,Street circuit,Anti-clockwise,Marina Bay, Singapore,5.063 km (3.146 mi),Singapore Grand Prix,"2008–2019, 2022",13
Prince George Circuit,george,Prince George Circuit,0,Race circuit,Clockwise,East London, South Africa,3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3
Kyalami Grand Prix Circuit,kyalami,Kyalami Grand Prix Circuit,0,Race circuit,Anti-clockwise,Midrand, South Africa,4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20
Circuit de Barcelona-Catalunya ✔,catalunya,Circuit de Barcelona-Catalunya,1,Race circuit,Clockwise,Montmeló, Spain,4.657 km (2.894 mi),Spanish Grand Prix,1991–2023,33
Circuito Permanente del Jarama,jarama,Circuito Permanente del Jarama,0,Race circuit,Clockwise,San Sebastián de los Reyes, Spain,3.404 km (2.115 mi),Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9
Circuito Permanente de Jerez,jerez,Circuito Permanente de Jerez,0,Race circuit,Clockwise,Jerez de la Frontera, Spain,4.428 km (2.751 mi),Spanish Grand Prix,1986–1990,5
Montjuïc circuit,montjuic,Montjuïc circuit,0,Street circuit,Anti-clockwise,Barcelona, Spain,3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4
Circuit de Pedralbes,pedralbes,Circuit de Pedralbes,0,Street circuit,Clockwise,Barcelona, Spain,6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2
Valencia Street Circuit,valencia,Valencia Street Circuit,0,Street circuit,Clockwise,Valencia, Spain,5.419 km (3.367 mi),European Grand Prix,2008–2012,5
Scandinavian Raceway,anderstorp,Scandinavian Raceway,0,Race circuit,Clockwise,Anderstorp, Sweden,4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6
Circuit Bremgarten,bremgarten,Circuit Bremgarten,0,Road circuit,Clockwise,Bern, Switzerland,7.208 km (4.479 mi),Swiss Grand Prix,1950–1954,5
Intercity Istanbul Park,istanbul,Intercity Istanbul Park,0,Race circuit,Anti-clockwise,Istanbul, Turkey,5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9
Yas Marina Circuit ✔,yas_marina,Yas Marina Circuit,1,Race circuit,Anti-clockwise,Abu Dhabi, United Arab Emirates,5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2022,14
Aintree Motor Racing Circuit,aintree,Aintree Motor Racing Circuit,0,Road circuit,Clockwise,Aintree, United Kingdom,4.828 km (3.000 mi),British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Brands Hatch Circuit,brands_hatch,Brands Hatch Circuit,0,Race circuit,Clockwise,West Kingsdown, United Kingdom,3.703 km (2.301 mi),British Grand Prix,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",12
Donington Park,donington,Donington Park,0,Race circuit,Clockwise,Castle Donington, United Kingdom,4.020 km (2.498 mi),European Grand Prix,1993,1
Silverstone Circuit ✔,silverstone,Silverstone Circuit,1,Race circuit,Clockwise,Silverstone, United Kingdom,5.891 km (3.660 mi),"British Grand Prix,","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2023[a]",57
Circuit of the Americas ✔,americas,Circuit of the Americas,1,Race circuit,Anti-clockwise,Austin, United States,5.513 km (3.426 mi),United States Grand Prix,"2012–2019, 2021–2022",10
Caesars Palace Grand Prix Circuit,ceasars,Caesars Palace Grand Prix Circuit,0,Street circuit,Anti-clockwise,Paradise, United States,3.650 km (2.268 mi),Caesars Palace Grand Prix,1981–1982,2
Dallas Fair Park,dallas,Dallas Fair Park,0,Street circuit,Anti-clockwise,Dallas, United States,3.901 km (2.424 mi),Dallas Grand Prix,1984,1
Detroit Street Circuit,detroit,Detroit Street Circuit,0,Street circuit,Anti-clockwise,Detroit, United States,4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7
Indianapolis Motor Speedway,indianapolis,Indianapolis Motor Speedway,0,Race circuit,Anti-clockwise,Speedway, United States,4.023 km (2.500 mi),Indianapolis 500[b],1950–1960,11
Long Beach Street Circuit,long_beach,Long Beach Street Circuit,0,Street circuit,Clockwise,Long Beach, United States,3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8
Miami International Autodrome ✔,miami,Miami International Autodrome,1,Street circuit,Anti-clockwise,Miami Gardens, United States,5.412 km (3.363 mi),Miami Grand Prix,2022–2023,2
Phoenix Street Circuit,phoenix,Phoenix Street Circuit,0,Street circuit,Anti-clockwise,Phoenix, United States,3.720 km (2.312 mi),United States Grand Prix,1989–1991,3
Riverside International Raceway,riverside,Riverside International Raceway,0,Race circuit,Clockwise,Moreno Valley, United States,5.271 km (3.275 mi),United States Grand Prix,1960,1
Sebring Raceway,sebring,Sebring Raceway,0,Road circuit,Clockwise,Sebring, United States,8.356 km (5.192 mi),United States Grand Prix,1959,1
Las Vegas Strip Circuit ✔,vegas,Las Vegas Strip Circuit,1,Street circuit,Anti-clockwise,Paradise, United States,6.120 km (3.803 mi),Las Vegas Grand Prix,2023[11],0
Watkins Glen International,watkins_glen,Watkins Glen International,0,Race circuit,Clockwise,Watkins Glen, United States,5.430 km (3.374 mi),United States Grand Prix,1961–1980,20
